Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
P8010019.JPG,2025-08-01,Region,134,0,23,1440.6,1979.5,40.1,36.15,0.0,
P8010019.JPG,2025-08-01,Points,0,0,no skeleton,2489.0,2049.0,0.0,0.0,0.0,
