Image.name,TagLab.Date,TagLab.Type,TagLab.Genet.Id,TagLab.Id,TagLab.Class.name,TagLab.Centroid.x,TagLab.Centroid.y,TagLab.Perimeter,TagLab.Area,TagLab.Surf..area,TagLab.Note,filename
P8010026.JPG,2025-08-01,Region,20,0,21,1564.1,2406.5,46.2,32.99,0,NA,"../data/sideSeg/T3/33_1.2_1hr_21,22_T3.csv"
P8010026.JPG,2025-08-01,Points,0,0,22,2674,2393,0,0,0,NA,"../data/sideSeg/T3/33_1.2_1hr_21,22_T3.csv"
P8010028.JPG,2025-08-01,Region,22,1,24,2524.6,2343.8,42.5,24.87,0,NA,"../data/sideSeg/T3/33_1.2_1hr_23,24_T3.csv"
P8010028.JPG,2025-08-01,Region,21,0,23,1530,2389.1,22.7,16.08,0,NA,"../data/sideSeg/T3/33_1.2_1hr_23,24_T3.csv"
P8010031.JPG,2025-08-01,Region,24,1,26,2703.9,2430.9,17.7,6.39,0,NA,"../data/sideSeg/T3/33_1.2_1hr_25,26_T3.csv"
P8010031.JPG,2025-08-01,Region,23,0,25,1531.7,2483,18.9,9.69,0,NA,"../data/sideSeg/T3/33_1.2_1hr_25,26_T3.csv"
P8010033.JPG,2025-08-01,Region,25,0,27,1393.3,2496.9,34.6,42.39,0,NA,"../data/sideSeg/T3/33_1.2_1hr_27,28_T3.csv"
P8010033.JPG,2025-08-01,Region,26,1,28,2486.4,2502.9,22.4,10.7,0,NA,"../data/sideSeg/T3/33_1.2_1hr_27,28_T3.csv"
P8010036.JPG,2025-08-01,Region,27,0,29,1548.1,2408.9,28.1,15.9,0,NA,"../data/sideSeg/T3/33_1.2_1hr_29,30_T3.csv"
P8010036.JPG,2025-08-01,Region,28,1,30,2407.6,2284,45.7,59.69,0,NA,"../data/sideSeg/T3/33_1.2_1hr_29,30_T3.csv"
P8010012.JPG,2025-08-01,Region,10,0,17,1408.5,2496.9,25.6,25.4,0,NA,"../data/sideSeg/T3/33_1.2_30min_11,12_T3.csv"
P8010012.JPG,2025-08-01,Region,11,1,17,2780.6,2534.3,43.5,34.17,0,NA,"../data/sideSeg/T3/33_1.2_30min_11,12_T3.csv"
P8010014.JPG,2025-08-01,Region,13,1,14,2446.4,2407,38.8,28.11,0,NA,"../data/sideSeg/T3/33_1.2_30min_13,14_T3.csv"
P8010014.JPG,2025-08-01,Region,12,0,13,1363.2,2404.7,18.2,7.95,0,NA,"../data/sideSeg/T3/33_1.2_30min_13,14_T3.csv"
P8010016.JPG,2025-08-01,Region,14,0,15,1641.4,2395,30.4,15.92,0,NA,"../data/sideSeg/T3/33_1.2_30min_15,16_T3.csv"
P8010016.JPG,2025-08-01,Region,15,1,16,2536.7,2349.7,42.5,50.82,0,NA,"../data/sideSeg/T3/33_1.2_30min_15,16_T3.csv"
P8010018.JPG,2025-08-01,Region,17,1,18,2594.7,2417.4,29.9,24.53,0,NA,"../data/sideSeg/T3/33_1.2_30min_17,18_T3.csv"
