Image.name,TagLab.Date,TagLab.Type,TagLab.Genet.Id,TagLab.Id,TagLab.Class.name,TagLab.Centroid.x,TagLab.Centroid.y,TagLab.Perimeter,TagLab.Area,TagLab.Surf..area,TagLab.Note,filename
P8080122.JPG,2025-08-08,Region,2,0,1,1426.3,2084.5,45.8,64.67,0,NA,"../data/sideSeg/T4/33_1.2_control_1,2_T4.csv"
P8080101.JPG,2025-08-08,Region,19,0,1,1527,2125.5,47.1,68.21,0,NA,"../data/sideSeg/T4/33_2.0_control_1,2_T4.csv"
P8080071.JPG,2025-08-08,Points,0,0,1,1244,2311,0,0,0,NA,"../data/sideSeg/T4/34_1.2_control_1,2_T4.csv"
P8080050.JPG,2025-08-08,Region,66,0,1,1362.9,2364.9,58.5,50.54,0,NA,"../data/sideSeg/T4/34_2.0_control_1,2_T4.csv"
P8080024.JPG,2025-08-08,Region,91,0,1,1447.2,2583.8,17.2,10.82,0,NA,"../data/sideSeg/T4/38_1.2_control_1,2_T4.csv"
P8080003.JPG,2025-08-08,Region,105,0,1,1285.2,2429.5,37.6,33.79,0,NA,"../data/sideSeg/T4/38_2.0_control_1,2_T4.csv"
P8080122.JPG,2025-08-08,Region,3,1,2,2242.2,2105.6,19.5,8.2,0,NA,"../data/sideSeg/T4/33_1.2_control_1,2_T4.csv"
P8080101.JPG,2025-08-08,Region,20,1,2,2338.4,2144.6,51.5,57.77,0,NA,"../data/sideSeg/T4/33_2.0_control_1,2_T4.csv"
P8080071.JPG,2025-08-08,Region,42,0,2,2549.7,2396.1,30.4,12.84,0,NA,"../data/sideSeg/T4/34_1.2_control_1,2_T4.csv"
P8080050.JPG,2025-08-08,Region,67,1,2,2622.6,2333.5,71.6,92.65,0,NA,"../data/sideSeg/T4/34_2.0_control_1,2_T4.csv"
P8080024.JPG,2025-08-08,Region,92,1,2,2665.5,2512.7,48.4,81.73,0,NA,"../data/sideSeg/T4/38_1.2_control_1,2_T4.csv"
P8080003.JPG,2025-08-08,Region,106,1,2,2591.8,2424.1,42.8,36.09,0,NA,"../data/sideSeg/T4/38_2.0_control_1,2_T4.csv"
P8080123.JPG,2025-08-08,Region,0,0,3,1509.7,2176.4,52.8,83.31,0,NA,"../data/sideSeg/T4/33_1.2_control_3,4_T4.csv"
P8080102.JPG,2025-08-08,Region,21,0,3,1532.9,2094.7,70.2,164.59,0,NA,"../data/sideSeg/T4/33_2.0_control_3,4_T4.csv"
P8080073.JPG,2025-08-08,Region,43,0,3,1676.3,2364,34.1,40.34,0,NA,"../data/sideSeg/T4/34_1.2_control_3,4_T4.csv"
P8080051.JPG,2025-08-08,Region,68,0,3,1378.6,2344.2,51.3,95.36,0,NA,"../data/sideSeg/T4/34_2.0_control_3,4_T4.csv"
P8080025.JPG,2025-08-08,Region,93,0,3,1378.5,2421.7,40.5,13.59,0,NA,"../data/sideSeg/T4/38_1.2_control_3,4_T4.csv"
P8080004.JPG,2025-08-08,Points,0,0,3,1288,2309,0,0,0,NA,"../data/sideSeg/T4/38_2.0_control_3,4_T4.csv"
