Image.name,TagLab.Date,TagLab.Type,TagLab.Genet.Id,TagLab.Id,TagLab.Class.name,TagLab.Centroid.x,TagLab.Centroid.y,TagLab.Perimeter,TagLab.Area,TagLab.Surf..area,TagLab.Note,filename
P7250092.JPG,2025-07-25,Region,54,0,21,1493.1,2486,64.2,66.18,0,NA,"../data/sideSeg/T2/33_1.2_1hr_21,22_T2.csv"
P7250092.JPG,2025-07-25,Region,55,1,22,2680.8,2525.7,41.1,31.8,0,NA,"../data/sideSeg/T2/33_1.2_1hr_21,22_T2.csv"
P7250093.JPG,2025-07-25,Region,56,0,23,1197.9,2665.7,60.5,58.42,0,NA,"../data/sideSeg/T2/33_1.2_1hr_23,24_T2.csv"
P7250093.JPG,2025-07-25,Region,57,1,24,2463.6,2657.4,59.5,57.1,0,NA,"../data/sideSeg/T2/33_1.2_1hr_23,24_T2.csv"
P7250094.JPG,2025-07-25,Region,58,0,25,1246.9,2581.7,52.5,64.33,0,NA,"../data/sideSeg/T2/33_1.2_1hr_25,26_T2.csv"
P7250094.JPG,2025-07-25,Region,59,1,26,2565.5,2492.9,36.3,45.95,0,NA,"../data/sideSeg/T2/33_1.2_1hr_25,26_T2.csv"
P7250095.JPG,2025-07-25,Region,60,0,27,1261.1,2720,60.8,97.77,0,NA,"../data/sideSeg/T2/33_1.2_1hr_27,28_T2.csv"
P7250095.JPG,2025-07-25,Region,61,1,28,2538.3,2779.2,60.4,58.57,0,NA,"../data/sideSeg/T2/33_1.2_1hr_27,28_T2.csv"
P7250096.JPG,2025-07-25,Region,62,0,29,1397,2512.3,61.6,65.04,0,NA,"../data/sideSeg/T2/33_1.2_1hr_29,30_T2.csv"
P7250096.JPG,2025-07-25,Region,63,1,30,2573.6,2436.3,80.5,106.98,0,NA,"../data/sideSeg/T2/33_1.2_1hr_29,30_T2.csv"
P7250085.JPG,2025-07-25,Region,11,0,11,1202.5,2452.6,52.7,84.54,0,NA,"../data/sideSeg/T2/33_1.2_30min_11,12_T2.csv"
P7250085.JPG,2025-07-25,Region,12,1,12,2559.7,2523.6,48.7,58.92,0,NA,"../data/sideSeg/T2/33_1.2_30min_11,12_T2.csv"
P7250086.JPG,2025-07-25,Region,13,0,13,1243.4,2519.7,60.3,81.93,0,NA,"../data/sideSeg/T2/33_1.2_30min_13,14_T2.csv"
P7250086.JPG,2025-07-25,Region,15,2,14,2589.9,2566.6,74.4,84.46,0,NA,"../data/sideSeg/T2/33_1.2_30min_13,14_T2.csv"
P7250088.JPG,2025-07-25,Region,17,1,16,2650.8,2495.3,67.8,91.36,0,NA,"../data/sideSeg/T2/33_1.2_30min_15,16_T2.csv"
