Image.name,TagLab.Date,TagLab.Type,TagLab.Genet.Id,TagLab.Id,TagLab.Class.name,TagLab.Centroid.x,TagLab.Centroid.y,TagLab.Perimeter,TagLab.Area,TagLab.Surf..area,TagLab.Note,filename
P8220099.JPG,2025-08-22,Points,0,0,21,1237,2434,0,0,0,NA,"../data/sideSeg/T6/33_1.2_1hr_21,22_T6.csv"
P8220099.JPG,2025-08-22,Points,0,1,22,2652,2426,0,0,0,NA,"../data/sideSeg/T6/33_1.2_1hr_21,22_T6.csv"
P8220100.JPG,2025-08-22,Points,0,0,23,1277,2395,0,0,0,NA,"../data/sideSeg/T6/33_1.2_1hr_23,24_T6.csv"
P8220100.JPG,2025-08-22,Points,0,1,24,2617,2448,0,0,0,NA,"../data/sideSeg/T6/33_1.2_1hr_23,24_T6.csv"
P8220101.JPG,2025-08-22,Region,10,0,26,2649,2450.3,15.8,5.65,0,NA,"../data/sideSeg/T6/33_1.2_1hr_25,26_T6.csv"
P8220101.JPG,2025-08-22,Points,0,0,25,1273,2352,0,0,0,NA,"../data/sideSeg/T6/33_1.2_1hr_25,26_T6.csv"
P8220102.JPG,2025-08-22,Region,11,0,27,718.6,2419.8,17.2,13.24,0,NA,"../data/sideSeg/T6/33_1.2_1hr_27,28_T6.csv"
P8220102.JPG,2025-08-22,Points,0,0,28,2388,2354,0,0,0,NA,"../data/sideSeg/T6/33_1.2_1hr_27,28_T6.csv"
P8220103.JPG,2025-08-22,Region,12,0,29,1176.8,2440.4,35.4,14.54,0,NA,"../data/sideSeg/T6/33_1.2_1hr_29,30_T6.csv"
P8220103.JPG,2025-08-22,Region,13,1,30,2407.8,2365.9,35.9,37.34,0,NA,"../data/sideSeg/T6/33_1.2_1hr_29,30_T6.csv"
P8220092.JPG,2025-08-22,Region,5,0,11,1237.8,2419.7,30.4,13.58,0,NA,"../data/sideSeg/T6/33_1.2_30min_11,12_T6.csv"
P8220092.JPG,2025-08-22,Points,0,0,12,2479,2385,0,0,0,NA,"../data/sideSeg/T6/33_1.2_30min_11,12_T6.csv"
P8220093.JPG,2025-08-22,Points,0,0,13,1236,2295,0,0,0,NA,"../data/sideSeg/T6/33_1.2_30min_13,14_T6.csv"
P8220093.JPG,2025-08-22,Points,0,1,14,2569,2329,0,0,0,NA,"../data/sideSeg/T6/33_1.2_30min_13,14_T6.csv"
P8220094.JPG,2025-08-22,Points,0,0,15,1330,2532,0,0,0,NA,"../data/sideSeg/T6/33_1.2_30min_15,16_T6.csv"
P8220094.JPG,2025-08-22,Points,0,1,16,2818,2499,0,0,0,NA,"../data/sideSeg/T6/33_1.2_30min_15,16_T6.csv"
P8220095.JPG,2025-08-22,Region,6,0,17,1157.6,2463.6,13.6,5.28,0,NA,"../data/sideSeg/T6/33_1.2_30min_17,18_T6.csv"
P8220095.JPG,2025-08-22,Region,7,1,18,2667.7,2498,11.3,4.16,0,NA,"../data/sideSeg/T6/33_1.2_30min_17,18_T6.csv"
P8220096.JPG,2025-08-22,Region,8,0,19,1467.5,2372.4,16.9,10.9,0,NA,"../data/sideSeg/T6/33_1.2_30min_19,20_T6.csv"
P8220096.JPG,2025-08-22,Region,9,1,20,2550.9,2450.4,35.8,17.1,0,NA,"../data/sideSeg/T6/33_1.2_30min_19,20_T6.csv"
