Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
P7180145.JPG,2025-07-15,Region,0,0,1,970.0,2256.6,76.4,338.2,0.0,
P7180145.JPG,2025-07-15,Region,1,1,2,932.9,1961.3,76.4,312.13,0.0,
P7180145.JPG,2025-07-15,Region,2,2,3,957.1,1644.7,86.2,433.19,0.0,
P7180145.JPG,2025-07-15,Region,3,3,4,931.0,1351.3,90.3,473.62,0.0,
P7180145.JPG,2025-07-15,Region,4,4,5,907.3,1036.7,81.0,374.33,0.0,
P7180145.JPG,2025-07-15,Region,5,5,6,912.0,705.4,67.8,250.21,0.0,
P7180145.JPG,2025-07-15,Region,6,6,7,1232.1,728.7,76.9,411.83,0.0,
P7180145.JPG,2025-07-15,Region,7,7,8,1219.6,1048.3,90.9,494.68,0.0,
P7180145.JPG,2025-07-15,Region,8,8,9,1235.7,1360.1,83.5,432.91,0.0,
P7180145.JPG,2025-07-15,Region,9,9,10,1258.6,1646.6,83.4,422.23,0.0,
P7180145.JPG,2025-07-15,Region,10,10,11,1736.8,2252.7,83.0,351.81,0.0,
P7180145.JPG,2025-07-15,Region,11,11,12,1692.0,1926.7,82.7,414.55,0.0,
P7180145.JPG,2025-07-15,Region,12,12,13,1680.7,1630.0,86.0,429.23,0.0,
P7180145.JPG,2025-07-15,Region,13,13,14,1666.4,1320.9,90.5,485.78,0.0,
P7180145.JPG,2025-07-15,Region,14,14,15,1689.5,1006.5,90.4,508.77,0.0,
P7180145.JPG,2025-07-15,Region,15,15,16,1663.5,697.7,86.2,413.75,0.0,
P7180145.JPG,2025-07-15,Region,16,16,17,1986.0,720.5,86.9,431.66,0.0,
P7180145.JPG,2025-07-15,Region,17,17,18,2008.9,1021.0,75.0,311.02,0.0,
P7180145.JPG,2025-07-15,Region,18,18,19,2005.2,1310.5,78.3,335.62,0.0,
P7180145.JPG,2025-07-15,Region,19,19,20,2005.0,1669.6,97.0,498.45,0.0,
P7180145.JPG,2025-07-15,Region,20,20,21,2744.3,2233.5,87.0,431.92,0.0,
P7180145.JPG,2025-07-15,Region,21,21,22,2733.6,1908.9,79.6,370.28,0.0,
P7180145.JPG,2025-07-15,Region,22,22,23,2770.5,1621.5,87.0,402.81,0.0,
P7180145.JPG,2025-07-15,Region,23,23,24,2733.0,1321.8,83.8,419.99,0.0,
P7180145.JPG,2025-07-15,Region,24,24,25,2745.2,994.2,89.2,448.13,0.0,
P7180145.JPG,2025-07-15,Region,25,25,26,2726.6,693.0,95.8,484.69,0.0,
P7180145.JPG,2025-07-15,Region,26,26,27,3039.9,681.6,88.0,451.84,0.0,
P7180145.JPG,2025-07-15,Region,27,27,28,3038.0,989.3,90.4,476.67,0.0,
P7180145.JPG,2025-07-15,Region,28,28,29,3051.0,1303.9,98.4,555.17,0.0,
P7180145.JPG,2025-07-15,Region,29,29,30,3066.0,1614.3,87.0,460.86,0.0,
