Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
P7180146.JPG,2025-07-15,Region,30,0,1,1007.3,2270.8,52.8,141.94,0.0,
P7180146.JPG,2025-07-15,Region,31,1,2,980.0,1948.5,50.8,160.4,0.0,
P7180146.JPG,2025-07-15,Region,32,2,3,982.2,1648.3,77.0,334.24,0.0,
P7180146.JPG,2025-07-15,Region,33,3,4,978.3,1339.0,64.7,214.82,0.0,
P7180146.JPG,2025-07-15,Region,34,4,5,961.5,1051.0,56.6,188.24,0.0,
P7180146.JPG,2025-07-15,Region,35,5,6,1007.8,733.2,66.7,237.41,0.0,
P7180146.JPG,2025-07-15,Region,36,6,7,1278.9,720.9,57.8,185.28,0.0,
P7180146.JPG,2025-07-15,Region,37,7,8,1262.8,1034.8,52.1,158.95,0.0,
P7180146.JPG,2025-07-15,Region,38,8,9,1277.1,1338.4,69.8,272.47,0.0,
P7180146.JPG,2025-07-15,Region,39,9,10,1298.1,1657.2,68.2,281.37,0.0,
P7180146.JPG,2025-07-15,Region,40,10,11,1713.6,2255.5,52.8,163.16,0.0,
P7180146.JPG,2025-07-15,Region,41,11,12,1724.0,1929.9,62.5,253.47,0.0,
P7180146.JPG,2025-07-15,Region,42,12,13,1712.5,1635.7,64.3,208.89,0.0,
P7180146.JPG,2025-07-15,Region,43,13,14,1715.0,1339.8,71.6,279.24,0.0,
P7180146.JPG,2025-07-15,Region,44,14,15,1696.0,1021.6,68.2,235.57,0.0,
P7180146.JPG,2025-07-15,Region,45,15,16,1688.7,722.6,48.6,152.42,0.0,
P7180146.JPG,2025-07-15,Region,46,16,17,2036.4,734.3,64.9,197.0,0.0,
P7180146.JPG,2025-07-15,Region,47,17,18,2006.6,985.4,53.1,159.67,0.0,
P7180146.JPG,2025-07-15,Region,48,18,19,2018.6,1345.8,55.1,159.3,0.0,
P7180146.JPG,2025-07-15,Region,49,19,20,2033.5,1643.7,52.2,124.7,0.0,
P7180146.JPG,2025-07-15,Region,50,20,21,2758.7,2222.0,64.4,199.58,0.0,
P7180146.JPG,2025-07-15,Region,51,21,22,2751.3,1932.6,46.9,142.74,0.0,
P7180146.JPG,2025-07-15,Region,52,22,23,2766.4,1640.4,47.2,123.08,0.0,
P7180146.JPG,2025-07-15,Region,53,23,24,2726.0,1322.1,66.6,262.17,0.0,
P7180146.JPG,2025-07-15,Region,54,24,25,2732.6,1011.1,57.5,201.59,0.0,
P7180146.JPG,2025-07-15,Region,55,25,26,2736.1,704.3,62.5,215.71,0.0,
P7180146.JPG,2025-07-15,Region,56,26,27,3072.5,710.2,70.3,228.74,0.0,
P7180146.JPG,2025-07-15,Region,57,27,28,3063.4,1000.8,55.7,178.12,0.0,
P7180146.JPG,2025-07-15,Region,58,28,29,3023.6,1312.4,57.0,188.88,0.0,
P7180146.JPG,2025-07-15,Region,59,29,30,3061.1,1633.4,54.7,172.58,0.0,
