Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
P7180142.JPG,2025-07-18,Region,120,0,1,754.3,2339.4,66.2,226.07,0.0,
P7180142.JPG,2025-07-18,Region,121,1,2,761.0,2065.6,63.3,207.67,0.0,
P7180142.JPG,2025-07-18,Region,122,2,3,748.3,1738.8,65.0,208.21,0.0,
P7180142.JPG,2025-07-18,Region,123,3,4,782.2,1440.5,65.9,206.97,0.0,
P7180142.JPG,2025-07-18,Region,124,4,5,762.9,1123.0,58.7,201.47,0.0,
P7180142.JPG,2025-07-18,Region,125,5,6,745.2,848.5,60.2,164.29,0.0,
P7180142.JPG,2025-07-18,Region,126,6,7,1058.8,800.3,61.0,203.0,0.0,
P7180142.JPG,2025-07-18,Region,127,7,8,1063.5,1132.6,67.1,252.3,0.0,
P7180142.JPG,2025-07-18,Region,128,8,9,1080.3,1434.3,64.3,258.8,0.0,
P7180142.JPG,2025-07-18,Region,129,9,10,1062.9,1712.4,65.0,214.31,0.0,
P7180142.JPG,2025-07-18,Region,130,10,11,1662.1,2305.9,55.8,148.81,0.0,
P7180142.JPG,2025-07-18,Region,131,11,12,1643.6,2010.0,60.9,209.01,0.0,
P7180142.JPG,2025-07-18,Region,132,12,13,1617.7,1688.1,55.5,164.26,0.0,
P7180142.JPG,2025-07-18,Region,133,13,14,1655.7,1415.4,56.1,158.78,0.0,
P7180142.JPG,2025-07-18,Region,134,14,15,1644.1,1137.7,75.0,322.04,0.0,
P7180142.JPG,2025-07-18,Region,135,15,16,1641.4,826.2,70.7,289.79,0.0,
P7180142.JPG,2025-07-18,Region,136,16,17,1939.3,827.3,58.0,199.65,0.0,
P7180142.JPG,2025-07-18,Region,137,17,18,1930.3,1109.1,53.5,145.43,0.0,
P7180142.JPG,2025-07-18,Region,138,18,19,1948.5,1421.5,67.3,236.59,0.0,
P7180142.JPG,2025-07-18,Region,139,19,20,1954.3,1710.5,54.4,183.92,0.0,
P7180142.JPG,2025-07-18,Region,140,20,21,2697.6,2316.6,64.7,291.49,0.0,
P7180142.JPG,2025-07-18,Region,141,21,22,2686.3,2029.0,58.5,222.43,0.0,
P7180142.JPG,2025-07-18,Region,142,22,23,2683.2,1693.7,63.0,231.92,0.0,
P7180142.JPG,2025-07-18,Region,143,23,24,2678.5,1403.0,61.3,222.96,0.0,
P7180142.JPG,2025-07-18,Region,144,24,25,2672.7,1130.0,74.3,302.43,0.0,
P7180142.JPG,2025-07-18,Region,145,25,26,2670.9,829.8,67.2,245.14,0.0,
P7180142.JPG,2025-07-18,Region,146,26,27,2975.3,794.5,61.3,221.77,0.0,
P7180142.JPG,2025-07-18,Region,147,27,28,2989.1,1099.0,62.1,218.99,0.0,
P7180142.JPG,2025-07-18,Region,148,28,29,2966.4,1355.7,73.1,277.1,0.0,
P7180142.JPG,2025-07-18,Region,149,29,30,2972.5,1655.4,72.2,272.94,0.0,
